LOC_SYSTEM_OPTION_MENU_START,======옵션======
LOC_SYSTEM_SEIJA_GOD_SUWAKO1,세이자: 이런 꼬맹이도 신이었던거야? 그렇게 쎄보이진않았는데
LOC_SYSTEM_SEIJA_GOD_SUWAKO2,세이자: 그 곳엔 개구리가 참 많았지. 별로 좋아하진 않는데 말이야
LOC_SYSTEM_SEIJA_GOD_SUWAKO3,세이자: 그 재앙신. 보기보단 위험하다고
LOC_SYSTEM_SEIJA_GOD_SUWAKO4,세이자: 이 물건엔 재앙이 따라오는데 괜찮겠어?
LOC_SYSTEM_SEIJA_GOD_MINORIKO1,세이자: 뭐 도망생활이라도 밥은 챙겨먹어야지. 여기 좀 나눠줄게
LOC_SYSTEM_SEIJA_GOD_MINORIKO2,세이자: 난 이제 고구마는 질려서말이야, 나눠줄까 생각하고 있었다고
LOC_SYSTEM_SEIJA_GOD_MINORIKO3,세이자: 이 고구마들은 그 풍년의 신에게... 어라? 이름이 뭐였지?
LOC_SYSTEM_SEIJA_GOD_MINORIKO4,세이자: 배고팠나보지? 좀 나눠주지
LOC_SYSTEM_SEIJA_GOD_MIMA1,세이자: 궁극의 마법이 적혀있다고 하더군. 소중하게 쓰라고
LOC_SYSTEM_SEIJA_GOD_MIMA2,세이자: 이게 그 스파크인지 뭔지가 적혀있는 책인가? 반칙수준이라고 그 마법
LOC_SYSTEM_SEIJA_GOD_MIMA3,세이자: 악령? 악령이 쓴 책이라고? 읽으면 저주받는건 아니겠지?
LOC_SYSTEM_SEIJA_GOD_MIMA4,세이자: 물건 보는 눈은 있구만 그래. 이건 좀 귀한 책이지
LOC_SYSTEM_SEIJA_GOD_SHINKI1,세이자: 마계의 신? 그 어벙벙하게 생긴 녀석이?
LOC_SYSTEM_SEIJA_GOD_SHINKI2,세이자: 생각보다 마계가 멀쩡해서 놀랐다고. 기분나쁘게 생긴 괴물을 생각했는데
LOC_SYSTEM_SEIJA_GOD_SHINKI3,세이자: 마계는 길을 잃기 쉽다고. 혹시 가게되면 조심하는게 좋을껄
LOC_SYSTEM_SEIJA_GOD_SHINKI4,세이자: 마족들이 진절머리나도록 쫓아오더라고... 이걸 줄테니 좀 따돌려 줄래?
LOC_SYSTEM_SEIJA_GOD_YUUGI1,세이자: 오니의 상대는 피하고 싶어서 말이지. 있는 힘껏 도망치라고
LOC_SYSTEM_SEIJA_GOD_YUUGI2,세이자: 이 갑옷들은 오니들의 보물중 하나지. 나에게 걸리면 금방이라고
LOC_SYSTEM_SEIJA_GOD_YUUGI3,세이자: 갑옷은 필요해질꺼야. 오니의 주먹을 정면으로 맞고 버티려면 말이지
LOC_SYSTEM_SEIJA_GOD_YUUGI4,세이자: 난 오니들에게 미움받는 성격같아서 말이야. 좀 대신 상대해줬으면 하는데
LOC_SYSTEM_SEIJA_GOD_SHIZUHA1,세이자: 단풍은 떨어지면 보잘것 없지. 너도 그렇게 생각하지?
LOC_SYSTEM_SEIJA_GOD_SHIZUHA2,세이자: 존재감이 없을거 같은 신이었지. 자 받아
LOC_SYSTEM_SEIJA_GOD_SHIZUHA3,세이자: 글쎄 이걸 가져올때 누가 꼭 지켜보고있다는 느낌이 들었단 말이야?
LOC_SYSTEM_SEIJA_GOD_SHIZUHA4,세이자: 역시 싸움은 몰래 등뒤에서 찌르는게 최고지. 너도 그렇게 생각하지?
LOC_SYSTEM_SEIJA_GOD_HINA1,세이자: 마침 이런 저주받은 물건은 나도 필요없었어. 전부 줄게
LOC_SYSTEM_SEIJA_GOD_HINA2,세이자: 꽤 값이 나가는 반지같아 보이긴하는데, 끼면 소름끼칠거같고 싫어
LOC_SYSTEM_SEIJA_GOD_HINA3,세이자: 일부러 자신의 장비에 저주를 거는 사람이 있다고? 에이 설마
LOC_SYSTEM_SEIJA_GOD_HINA4,세이자: 필요하면 주겠지만 저주는 조심하라고
LOC_SYSTEM_SEIJA_GOD_YUKARI1,세이자: 이 기분나쁜 요괴랑은 별로 연관되고 싶지 않았는데
LOC_SYSTEM_SEIJA_GOD_YUKARI2,세이자: 이 물건들을 훔치러갔을때 이 요괴는 잠자고있었지
LOC_SYSTEM_SEIJA_GOD_YUKARI3,세이자: 도망칠때는 이 공간이동 아이템만한게 없지. 유용하게 쓰라고
LOC_SYSTEM_SEIJA_GOD_YUKARI4,세이자: 공간이동은 유용하지만 멀미가 심하단말이야. 우웩
LOC_SYSTEM_SEIJA_GOD_EIRIN1,세이자: 그 약사의 집에서 훔쳐온 물약들이야. 무슨 물약인지는 잘 모르겠지만
LOC_SYSTEM_SEIJA_GOD_EIRIN2,세이자: 약사라면서? 왜 그렇게 독을 많이 가지고 있는 거지?
LOC_SYSTEM_SEIJA_GOD_EIRIN3,세이자: 그 약사의 방에 처음 보는 이상한 실험도구도 잔뜩있었어. 위험해보여서 무시했지
LOC_SYSTEM_SEIJA_GOD_EIRIN4,세이자: 상황을 타개하는데는 물약만큼 든든한게 없지. 너도 조심하라고!
LOC_SYSTEM_SEIJA_GOD_YUYUKO1,세이자: 그 긴 계단에 다시 올라가고 싶진 않더라
LOC_SYSTEM_SEIJA_GOD_YUYUKO2,세이자: 이 물건을 훔치고 나서부턴 유령이 지겹게 꼬이더군
LOC_SYSTEM_SEIJA_GOD_YUYUKO3,세이자: 죽음을 다루는 망령? 불길하네
LOC_SYSTEM_SEIJA_GOD_YUYUKO4,세이자: 유령정도는 쉽게 따돌릴 수 있겠지? 믿는다고 파트너
LOC_SYSTEM_SEIJA_GOD_SATORI1,세이자: 마음을 읽는 요괴라... 기분 나쁜 요괴구만
LOC_SYSTEM_SEIJA_GOD_SATORI2,세이자: 애완동물을 기르는건지 방목하는건지 잘 모르겠네
LOC_SYSTEM_SEIJA_GOD_SATORI3,세이자: 별로 강해보이진않은 녀석이었어. 다시 만나긴 싫지만
LOC_SYSTEM_SEIJA_GOD_SATORI4,세이자: 나만큼 미움 받는 녀석이라고? 별로 동료의식은 안느끼지만 말이야
LOC_SYSTEM_SEIJA_GOD_TENSI1,세이자: 이런 녀석을 믿는 사람이 있다고? 취향 참 독특하구만
LOC_SYSTEM_SEIJA_GOD_TENSI2,세이자: 하늘에서 돌에 맞지 않게 조심하라구
LOC_SYSTEM_SEIJA_GOD_TENSI3,세이자: 이런 잡동사니가 필요한거야? 너도 참 특이하군
LOC_SYSTEM_SEIJA_GOD_TENSI4,세이자: 천인의 물건치곤 값싸보이는 물건 뿐이었어
LOC_SYSTEM_SEIJA_GOD_LILLY1,세이자: 요정? 권리 신장? 무슨 말도 안되는 얘기를 하는걸까?
LOC_SYSTEM_SEIJA_GOD_LILLY2,세이자: 요정과 벌레는 비슷하지~ 죽여도 죽여도 계속 귀찮게구는 점 말이야
LOC_SYSTEM_SEIJA_GOD_LILLY3,세이자: 요정의 물건이 도움이 될진 모르겠지만 훔쳐왔어. 어떻게든 써보라고
LOC_SYSTEM_SEIJA_GOD_LILLY4,세이자: 주변도 보지않고 폭격해대는 요정이었어. 민폐라고 이거
LOC_SYSTEM_SEIJA_GOD_MIKO1,세이자: 그 잘난 녀석이 아끼는 망토를 하나 가져왔지
LOC_SYSTEM_SEIJA_GOD_MIKO2,세이자: 난 더 마음에 드는 망토가 있어서 말이지, 이건 너 줄게
LOC_SYSTEM_SEIJA_GOD_MIKO3,세이자: 겉으론 위대한 척해도 속으론 약삭빠른 녀석이지. 난 알 수 있어
LOC_SYSTEM_SEIJA_GOD_MIKO4,세이자: 빨간 망토? 파란 망토? 그런건 잘 모르겠는데
LOC_SYSTEM_SEIJA_GOD_OKINA1,세이자: 그 이상한 춤을 추는 무리를 따돌리느라 진땀 뺏다고
LOC_SYSTEM_SEIJA_GOD_OKINA2,세이자: 그런 놈의 부하따위 될까보냐
LOC_SYSTEM_SEIJA_GOD_OKINA3,세이자: 이 아이템을 쓰면 일시적으로 무적이 된다던데 잘 써보라고
LOC_SYSTEM_SEIJA_GOD_OKINA4,세이자: 등 뒤에 문이 있길래 들어가보고 이걸 훔쳐왔지
LOC_SYSTEM_SEIJA_GOD_JUNKO1,세이자: 역시 아이템 강화는 가장 중요하지?
LOC_SYSTEM_SEIJA_GOD_JUNKO2,세이자: 계속 누굴 죽인다고 중얼거리다니 기분나쁜 놈이네
LOC_SYSTEM_SEIJA_GOD_JUNKO3,세이자: 순화가 축복이라고? 아이템을 쓰질못한다면 무슨 소용인거지?
LOC_SYSTEM_SEIJA_GOD_JUNKO4,세이자: 순수한 힘엔 못미치지만 우리에겐 머리와 아이템이 있지
LOC_SYSTEM_SEIJA_WELCOME1,세이자: 새로운 레지스탕스의 탄생이군! 환영한다!
LOC_SYSTEM_SEIJA_WELCOME2,세이자: 우린 최고의 팀이 될거야!
LOC_SYSTEM_SEIJA_WELCOME3,세이자: 콧대만 높은 그 녀석들에게 한방 먹이자고!
LOC_SYSTEM_SEIJA_WELCOME4,세이자: 하극상의 시작이다!
LOC_SYSTEM_SEIJA_WELCOME5,세이자: 약자에게 힘을! 강자에겐 벌을!
LOC_SYSTEM_SEIJA_REFUSE_ITEM1,세이자: 정말? 아이템이 필요하지않은거야? 그 자신감 싫진 않아
LOC_SYSTEM_SEIJA_REFUSE_ITEM2,세이자: 물론 선물은 받지않아도 좀 도와줄거지?
LOC_SYSTEM_SEIJA_REFUSE_ITEM3,세이자: 사양할 필요는 없는데 말이지
LOC_SYSTEM_SEIJA_REFUSE_ITEM4,세이자: 필요없다는걸로 알겠어 파트너
LOC_SYSTEM_SEIJA_REFUSE_ITEM5,세이자: 후회하지말라고
LOC_SYSTEM_SEIJA_REFUSE_ITEM6,세이자: 그럼 이 보물은 내가 가지고 있지
LOC_SYSTEM_SEIJA_DOUBT1,세이자: 이거 수지가 안 맞는거 아닐까?
LOC_SYSTEM_SEIJA_DOUBT2,세이자: 나 덕분에 여기까지 왔다고 생각해
LOC_SYSTEM_SEIJA_DOUBT3,세이자: 흠... 여기 받아
LOC_SYSTEM_SEIJA_DOUBT4,세이자: 이건 좀 아까운데...
LOC_SYSTEM_SEIJA_DOUBT5,세이자: 이 물건보다 이 녀석이 더 유용할거같진 않은데...
LOC_SYSTEM_SEIJA_DOUBT6,세이자: 역시 이건 좀 아까운... 아, 아무것도 아니야
LOC_SYSTEM_SEIJA_DOUBT7,세이자: 생각해보니 내가 손해를 보고 있잖아 이거
LOC_SYSTEM_SEIJA_DOUBT_REFUSE_ITEM1,세이자: 정말로 필요없어?
LOC_SYSTEM_SEIJA_DOUBT_REFUSE_ITEM2,세이자: 기껏 내 보물을 준다는데 왜 싫다는거지?
LOC_SYSTEM_SEIJA_DISTRUST1,세이자: ...
LOC_SYSTEM_SEIJA_DISTRUST2,세이자는 심기가 불편한듯 하다.
LOC_SYSTEM_SEIJA_DISTRUST3,세이자: ...역시 아무리 생각해도 내가 손해야
LOC_SYSTEM_SEIJA_DISTRUST4,세이자: 그러고보니 선물을 신도에게 주다가 배신당하는 신이 있다고 들었는걸
LOC_SYSTEM_SEIJA_DISTRUST5,세이자: 흥... 그 얼굴 왠지 짜증나는걸
LOC_SYSTEM_SEIJA_DISTRUST6,세이자: 내가 이용당하고 있는게 아닐까 이거?
LOC_SYSTEM_SEIJA_DISTRUST7,세이자: 배신 당하기 전에 배신한다... 이게 내 신조였지
LOC_SYSTEM_SEIJA_DISTRUST_ITEM1,세이자: 이봐, 말해봐. 무슨 속셈이 있는거지?
LOC_SYSTEM_SEIJA_DISTRUST_ITEM2,세이자: 네가 뭘 생각하는지 알 수가 없군
LOC_SYSTEM_SEIJA_ABANDONED1,세이자: 잘 들어. 난 뼈속까지 아마노자쿠다! 나에게 동료란 없어!
LOC_SYSTEM_SEIJA_ABANDONED2,세이자: 역시 넌 적이었어. 넌 약자의 편이 아니야!
LOC_SYSTEM_SEIJA_ABANDONED3,세이자: 너도 날 배신할 생각이었지? 아니야! 내가 널 배신할거다!
LOC_SYSTEM_SEIJA_ABANDONED4,세이자: 이용당하다 버려진 녀석은 바로 너다! 이 멍청아! 내가 널 이용한거야!
LOC_SYSTEM_SEIJA_ABANDONED5,세이자: 너도 내 보물이 탐나서 온거지? 내가 그 속셈을 모를 줄 알고?
LOC_SYSTEM_SEIJA_ABANDONED6,세이자: 아마노자쿠에게 동료란 없어! 넌 처음부터 이용당한거뿐이지!
LOC_SYSTEM_SEIJA_ABANDONED7,세이자: 그동안 널 파트너라고 했던말은 다 거짓말이다. 왜냐면 난 아마노자쿠니까!
LOC_SYSTEM_SEIJA_ABANDON1,세이자: 뭐? 네가 날 배신해? 그게 그렇게 쉽게 될거같아?
LOC_SYSTEM_SEIJA_ABANDON2,세이자: 그랬군. 역시 동료는 필요없는 거였어. 넌 끔찍하게 죽을거야!
LOC_SYSTEM_SEIJA_ABANDON3,세이자: 이 아마노자쿠를 이용하려하다니 간도 크구나!
LOC_SYSTEM_SEIJA_ABANDON4,세이자: 후회하게 해주마!
LOC_SYSTEM_PLAYER_REIMU,레이무
LOC_SYSTEM_PLAYER_MARISA,마리사
LOC_SYSTEM_PLAYER_SANAE,사나에
LOC_SYSTEM_PLAYER_MOMIZI,모미지
LOC_SYSTEM_PLAYER_KOISHI,코이시
LOC_SYSTEM_PLAYER_MOKOU,모코우
LOC_SYSTEM_PLAYER_NITORI,니토리
LOC_SYSTEM_PLAYER_SUNNY,써니
LOC_SYSTEM_PLAYER_STAR,스타
LOC_SYSTEM_PLAYER_LUNA,루나
LOC_SYSTEM_ATT_NORMAL,공격
LOC_SYSTEM_ATT_CLAW,할퀴기
LOC_SYSTEM_ATT_BITE,물기
LOC_SYSTEM_ATT_SMASH,스매쉬
LOC_SYSTEM_ATT_BODYCHECK,철산고
LOC_SYSTEM_ATT_DRILL,드릴
LOC_SYSTEM_ATT_DRAIN,흡혈
LOC_SYSTEM_ATT_TORCH,횃불
LOC_SYSTEM_ATT_DREAM,몽혼
LOC_SYSTEM_ATT_VENOM_TEETH,독니
LOC_SYSTEM_ATT_PECK,쪼기
LOC_SYSTEM_ATT_HAKUROUKEN,백루검
LOC_SYSTEM_ATT_ROUKANKEN,루관검
LOC_SYSTEM_ATT_HEADBUTT,박치기
LOC_SYSTEM_ATT_SICKLE,낫
LOC_SYSTEM_ATT_ROBE,옷깃
LOC_SYSTEM_ATT_CLEAVER,칼
LOC_SYSTEM_ATT_FAN,부채
LOC_SYSTEM_ATT_FIRE,화염
LOC_SYSTEM_ATT_COLD,냉기
LOC_SYSTEM_ATT_POISON,독기
LOC_SYSTEM_ATT_VENOM,맹독
LOC_SYSTEM_ATT_CONFUSE_POISON,악취탄
LOC_SYSTEM_ATT_CRUNCH,깨물기
LOC_SYSTEM_ATT_FIRE_SWORD,화염검
LOC_SYSTEM_ATT_ELEC_SWORD,번개검
LOC_SYSTEM_ATT_ELEC,전격
LOC_SYSTEM_ATT_THUNDER,번개
LOC_SYSTEM_ATT_DISH,접시
LOC_SYSTEM_ATT_MAGIC_BOMB,매직봄
LOC_SYSTEM_ATT_STONE_TACK,바위 압정
LOC_SYSTEM_ATT_SUN,햇빛
LOC_SYSTEM_ATT_EARTHQUAKE,지진
LOC_SYSTEM_ATT_V_FIRE,불바다
LOC_SYSTEM_ATT_V_METAL,철가시
LOC_SYSTEM_ATT_V_AIR,바람
LOC_SYSTEM_ATT_V_EARTH_SHOT,암석탄
LOC_SYSTEM_ATT_V_EARTH_FRAG,암석파편
LOC_SYSTEM_ATT_BACKSTAB,암습
LOC_SYSTEM_ATT_GIANTSWING,자이언트스윙
LOC_SYSTEM_ATT_GERMANSUPLEX,저먼 스플렉스
LOC_SYSTEM_ATT_MIMA_MAGIC,마법
LOC_SYSTEM_ATT_MIMA_FIRE_MAGIC,화염 마법
LOC_SYSTEM_ATT_MIMA_EARTH_MAGIC,암석 마법
LOC_SYSTEM_ATT_MIMA_ELEC_MAGIC,전기 마법
LOC_SYSTEM_ATT_MIMA_POISION_MAGIC,맹독 마법
LOC_SYSTEM_ATT_MIMA_ICE_MAGIC,냉기 마법
LOC_SYSTEM_ATT_MIMA_CONJURE_MAGIC,마력
LOC_SYSTEM_ATT_STONE_PUNCH,돌주먹
LOC_SYSTEM_ATT_DROWN,질식
LOC_SYSTEM_ATT_LAVA,용암
LOC_SYSTEM_ATT_RUSH,돌진
LOC_SYSTEM_ATT_WATERGUN,물총
LOC_SYSTEM_ATT_DOOR,문
LOC_SYSTEM_ATT_TANMAC,탄막
LOC_SYSTEM_ATT_SION,시온
LOC_SYSTEM_ATT_FIRECRAKER,폭죽
LOC_SYSTEM_ATT_SHOCKWAVE,충격파
LOC_SYSTEM_ATT_KIKU_SPRAY,물보라
LOC_SYSTEM_ATT_CURSE,저주
LOC_SYSTEM_ATT_BURN,불꽃
LOC_SYSTEM_ATT_POISONTANMAC,독탄막
LOC_SYSTEM_ATT_COLDBEAM,냉동빔
LOC_SYSTEM_ATT_SMITE,강타
LOC_SYSTEM_ATT_ELECTRIC,전기
LOC_SYSTEM_ATT_FIREBALL,화염구
LOC_SYSTEM_ATT_WATERPRESSURE,수압
LOC_SYSTEM_ATT_NOISE,굉음
LOC_SYSTEM_ATT_FIRESTORM,화염폭풍
LOC_SYSTEM_ATT_CRASH,충돌
LOC_SYSTEM_ATT_LASER,레이저
LOC_SYSTEM_ATT_STONE,돌멩이
LOC_SYSTEM_ATT_ROCK,바위
LOC_SYSTEM_ATT_KANAMEDRILL,카나메드릴
LOC_SYSTEM_ATT_BURST,폭발
LOC_SYSTEM_ATT_SUICIDE,자폭
LOC_SYSTEM_ATT_SPARK,스파크
LOC_SYSTEM_ATT_LIGHTTANMAC,광탄
LOC_SYSTEM_ATT_BULLET,총알
LOC_SYSTEM_ATT_BLOOD_STARE,피의 응시
LOC_SYSTEM_ATT_YINYANG_TANMAC,음양탄
LOC_SYSTEM_ATT_SEAOFFIRE,불바다
LOC_SYSTEM_ATT_LEAP,도약
LOC_SYSTEM_ATT_AIRSTRIKE,바람의 탄환
LOC_SYSTEM_ATT_MACROBURST,매크로 버스트
LOC_SYSTEM_ATT_EMERALD,에메랄드
LOC_SYSTEM_ATT_SHORT_LIFE_EXPECTACNY,얼마없는 여생
LOC_SYSTEM_ATT_PSYCHOKINESIS,염동력
LOC_SYSTEM_ATT_HYPERBEAM,파괴광선
LOC_SYSTEM_ATT_SWORD,검
LOC_SYSTEM_ATT_KNIFE,나이프
LOC_SYSTEM_ATT_THROWING_ATLAS,천수력남 던지기
LOC_SYSTEM_ATT_BILL,부적
LOC_SYSTEM_ATT_DIMENSIONAL_RIFT,아공혈
LOC_SYSTEM_THAT,그것
LOC_SYSTEM_SOMETHING,무언가
LOC_SYSTEM_FIND_ONE,{0:을|를} 발견했다.
LOC_SYSTEM_FIND_TWO,{0:와|과} {1:을|를} 발견했다.
LOC_SYSTEM_FIND_THREE,{0:와|과} {1:와|과} {2:을|를} 발견했다.
LOC_SYSTEM_FIND_MANY,여러 아이템을 발견했다.
LOC_SYSTEM_EVENT_KISME_DROP,하늘에서 키스메가 떨어졌다!
LOC_SYSTEM_EVENT_LUNATIC_TIME,It's LUNATIC TIME!!
LOC_SYSTEM_EVENT_KOGASA_DROP,하늘에서 코가사가 떨어졌다!
LOC_SYSTEM_EVENT_KOGASA_DROP2,...그러나 코가사는 땅바닥에 머리부터 부딪혔다.
LOC_SYSTEM_EVENT_DREAM_OPEN1,꿈의 세계가 넓어지기 시작한다! 자고 있던 적들이 깨어나기 시작한다!
LOC_SYSTEM_EVENT_DREAM_OPEN2,꿈의 세계가 넓어지고 있다!
LOC_SYSTEM_EVENT_DREAM_OPEN3,꿈의 세계가 또 다시 넓어졌다! 꿈의 주민들이 당신을 눈치챘다!
LOC_SYSTEM_EVENT_DREAM_OPEN4,꿈의 세계는 거의 대부분 열렸다! 곧 몬스터가 들끓기 시작한다!
LOC_SYSTEM_EVENT_DREAM_OPEN5,꿈의 세계는 완전히 개방되었다! 달로 가는 포탈로 최대한 빨리 들어가야한다!
LOC_SYSTEM_EVENT_MARY_SAN1,나, 메리씨
LOC_SYSTEM_EVENT_MARY_SAN2,지금, 당신의
LOC_SYSTEM_EVENT_MARY_SAN3,등 뒤에 있어!
LOC_SYSTEM_EVENT_MARY_SAN_FAIL,... 보이지 않는 곳에 있어
LOC_SYSTEM_EVENT_RUN_TRHEEFAIRY,{0:은|는} 외쳤다. "도망쳐!"
LOC_SYSTEM_EVENT_SCALET_TRAP,방어마법진작동. 칩입자를 처단하라!
LOC_SYSTEM_EVENT_KOGASA_TIME1,It's SURPRISE TIME!!
LOC_SYSTEM_EVENT_KOGASA_TIME2,...그러나 코가사는 무언가 잘못되었음을 느꼈다.
LOC_SYSTEM_EVENT_HOJOK1,{0:은|는} 외쳤다. "해치워주마!"
LOC_SYSTEM_EVENT_HOJOK2,{0:은|는} 외쳤다. "저에게 맡겨주시길!"
LOC_SYSTEM_EVENT_KOGASA_SMOKE1,{0:은|는} 외쳤다. "원망스럽...콜록, 콜록!"
LOC_SYSTEM_EVENT_KOGASA_SMOKE2,...코가사는 준비해둔 연기를 너무 들이마신듯하다.
LOC_SYSTEM_EVENT_SION_ITEM,아이템
LOC_SYSTEM_EVENT_SION_ITEM_DELETE,{0:이|가} 가까이가자 사라졌다.
LOC_SYSTEM_EVENT_SION_ITEMS_DELETE,아이템들이 가까이가자 사라졌다.
LOC_SYSTEM_MON_DREAM_UNIQUE,꿈의 주민 {0}
LOC_SYSTEM_EVOKE_DREAM_SOUL,당신은 {0}의 꿈을 불러냈다!
LOC_SYSTEM_TRIBE_HUMAN,인간
LOC_SYSTEM_TRIBE_WIZARD,마녀
LOC_SYSTEM_TRIBE_FAIRY,요정
LOC_SYSTEM_TRIBE_CROWTENGU,카라스텐구
LOC_SYSTEM_TRIBE_WOLFTENGU,백랑텐구
LOC_SYSTEM_TRIBE_KAPPA,캇파
LOC_SYSTEM_TRIBE_NECOMATA,네코마타
LOC_SYSTEM_TRIBE_OARFISH,용궁의사자
LOC_SYSTEM_TRIBE_CHEUKUMOGAMI,츠쿠모가미
LOC_SYSTEM_TRIBE_ONI,오니
LOC_SYSTEM_TRIBE_HALFYOUKAI,반요
LOC_SYSTEM_TRIBE_WRAITH,망령
LOC_SYSTEM_TRIBE_VAMPIRE,흡혈귀
LOC_SYSTEM_TRIBE_YOUKAI,요괴
LOC_SYSTEM_TRIBE_GROW_NECOMATA_FUR,당신에게 푹신푹신한 털이 자라났다.
LOC_SYSTEM_TRIBE_GROW_OARFIGH_SCALE1,당신의 비늘이 단단해졌다.
LOC_SYSTEM_TRIBE_GROW_OARFIGH_SCALE2,당신의 비늘이 더욱 단단해졌다
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST,당신에겐 수인의 피가 흐르고 있다! 당신의 특성은 전사에 적합하다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_1,당신에게 손톱이 자라났다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_2_JAW,수인의 혈통이 더욱 강해졌다. 당신에게 강한 턱이 자라났다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_2_FOOT,수인의 혈통이 더욱 강해졌다. 당신의 다리는 도약할수있을만큼 강해졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_2_EYE,수인의 혈통이 더욱 강해졌다. 당신의 시력이 좋아졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_3_FUR,수인의 혈통이 더욱 강해졌다. 당신에게 푹신푹신한 털이 자라났다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_3_SPEED,수인의 혈통이 더욱 강해졌다. 당신의 발이 빨라졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_3_REGEN,수인의 혈통이 더욱 강해졌다. 당신은 강한 재생력이 생겼다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_4_SLAY,수인의 마지막 특성이 발현되었다. 당신은 동물적인 전투감각을 깨우쳤다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_BEAST_4_CONFUSE_ATTACK,수인의 마지막 특성이 발현되었다. 당신의 뛰어난 공격은 상대를 혼란하게 만든다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI,당신에겐 오니의 피가 흐르고 있다! 당신의 특성은 강한 맷집으로 이어진다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_1,당신에게 뿔이 자라났다
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_2_HP,오니의 혈통이 더욱 강해졌다. 당신은 튼튼해졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_2_POISON,오니의 혈통이 더욱 강해졌다. 당신은 독에 저항이 생겼다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_2_MR,오니의 혈통이 더욱 강해졌다. 당신은 마법저항이 높아졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_3_AC,오니의 혈통이 더욱 강해졌다. 당신의 피부는 단단해졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_3_REGEN,오니의 혈통이 더욱 강해졌다. 당신은 강한 재생력이 생겼다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_3_STR,오니의 혈통이 더욱 강해졌다. 당신은 엄청난 힘이 생겼다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_4_HP,오니의 마지막 특성이 발현되었다. 당신은 놀랄만큼 튼튼해졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_ONI_4_EV,오니의 마지막 특성이 발현되었다. 당신은 초월적인 회피재능에 눈을 떴다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON,당신에겐 용의 피가 흐르고 있다! 당신의 특성은 속성을 다루는데 능숙하다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_1,당신에게 비늘이 자라났다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_2_FIRE,용의 혈통이 더욱 강해졌다. 당신은 화염에 저항이 생겼다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_2_COLD,용의 혈통이 더욱 강해졌다. 당신은 냉기에 저항이 생겼다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_2_ELEC,용의 혈통이 더욱 강해졌다. 당신은 전기에 저항이 생겼다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_3_CLOUD,용의 혈통이 더욱 강해졌다. 당신은 구름을 몰고 다닌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_3_BREATH,용의 혈통이 더욱 강해졌다. 당신은 입에서 브레스를 쏠 수 있다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_3_SCALE,용의 혈통이 더욱 강해졌다. 당신의 비늘은 더욱 두꺼워졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_4_GRAZE_CONTROL,용의 마지막 특성이 발현되었다. 당신은 공기의 흐름을 다룰 수 있게 되었다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DRAGON_4_FORCE_OF_NATURE,용의 마지막 특성이 발현되었다. 당신은 자연의 힘을 몸에 두르게 되었다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DEMON,당신에겐 악마의 피가 흐르고 있다! 당신의 특성은 마법사용에 집중된다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DEMON_1,당신은 마나재생력이 빨라졌다.
LOC_SYSTEM_TRIBE_GROW_HALFYOUKAI_DEMON_2_FLY,악마의 혈통이 더욱 강해졌다. 당신에 큰 날개가 생겼다.
